rule_id,antecedents,consequents,support,confidence,lift,gap_type,policy_implications,baseline_comparison
165,"['Income_Bracket=0', 'Resolution_Time=3']","['Adjournment_Count=Medium', 'OUTCOME=DELAY']",0.025746198018552408,0.6507177033492823,5.171476150940861,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 65.07% vs Baseline: 33.40%
13,"['Case_Type=2', 'Resolution_Time=3']",['OUTCOME=DELAY'],0.03218274752319051,1.0,2.993954279236728,Case-Type Bias,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
15,"['Resolution_Time=0', 'Hearing_Count=Medium']",['OUTCOME=DELAY'],0.07294756105256515,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
16,"['Resolution_Time=0', 'Adjournment_Count=Low', 'Hearing_Count=Medium']",['OUTCOME=DELAY'],0.034580677730800785,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
17,"['Resolution_Time=0', 'OUTCOME=UNFAVORABLE']",['OUTCOME=DELAY'],0.061336530573610146,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
14,['Resolution_Time=0'],['OUTCOME=DELAY'],0.1622389095727898,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
19,"['Resolution_Time=0', 'OUTCOME=UNFAVORABLE', 'Adjournment_Count=Low']",['OUTCOME=DELAY'],0.028838265917839338,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
20,"['Gender=1', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.05281756799394207,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
21,"['Jurisdiction=0', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.04265791632485644,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
22,"['Aid_Modality=0', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.04019688269073011,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
23,"['Vulnerability=0', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.03483309143686502,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
24,"['Resolution_Time=0', 'Age_Group=0']",['OUTCOME=DELAY'],0.03224585094970657,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
25,"['Case_Type=2', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.029721713889064177,1.0,2.993954279236728,Case-Type Bias,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
18,"['Resolution_Time=0', 'OUTCOME=UNFAVORABLE', 'Hearing_Count=Medium']",['OUTCOME=DELAY'],0.026503439136745126,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
27,"['Resolution_Time=0', 'Adjournment_Count=Low']",['OUTCOME=DELAY'],0.07484066384804695,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
28,"['Resolution_Time=0', 'Gender=2']",['OUTCOME=DELAY'],0.05319618855303843,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
29,"['Resolution_Time=0', 'Gender=2', 'Hearing_Count=Medium']",['OUTCOME=DELAY'],0.027260680254937844,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
30,"['Aid_Modality=2', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.040827916955890706,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
31,"['Jurisdiction=1', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.03842998674828043,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
32,"['Vulnerability=1', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.03287688521486717,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
33,"['Resolution_Time=0', 'Hearing_Count=Low']",['OUTCOME=DELAY'],0.027008266548873602,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
34,"['Adjournment_Count=Medium', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.06064239288193349,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
35,"['Adjournment_Count=Medium', 'Resolution_Time=0', 'Hearing_Count=Medium']",['OUTCOME=DELAY'],0.026692749416293304,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
36,"['Resolution_Time=0', 'Jurisdiction=2']",['OUTCOME=DELAY'],0.03956584842556951,1.0,2.993954279236728,Process-Stage Bottleneck,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
37,"['Income_Bracket=0', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.037294125070991356,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
38,"['Age_Group=4', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.03306619549441535,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
39,"['Vulnerability=2', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.03287688521486717,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
40,"['Gender=0', 'Resolution_Time=0']",['OUTCOME=DELAY'],0.0562251530258093,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
41,"['Gender=0', 'Resolution_Time=0', 'Adjournment_Count=Low']",['OUTCOME=DELAY'],0.025809301445068468,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
26,"['Resolution_Time=0', 'Income_Bracket=3']",['OUTCOME=DELAY'],0.029406196756483878,1.0,2.993954279236728,Demographic Disparity,Implement case timeline monitoring; Establish expedited procedures for high-risk cases,Rule delay rate: 100.00% vs Baseline: 33.40%
