Case_ID,Age_Group,Gender,Income_Bracket,Vulnerability_Category,Case_Type,Case_Sub_Type,Jurisdiction_Level,Legal_Aid_Modality,State,Filing_Year,Hearing_Count,Adjournment_Count,Resolution_Time,Delay_Flag,Outcome_Disparity,Aid_Disparity
1,18-25,Male,Middle_Income,Minority,Domestic_Violence,Maintenance,District,Full_Aid,State_28,2018,6,0,12-24 mo,1,1,0
2,65+,Male,Unknown,Person_with_Disability,Domestic_Violence,Child_Custody,High_Court,Full_Aid,State_11,2023,3,3,3–6 mo,0,1,0
3,36-50,Male,Below_Poverty_Line,Person_with_Disability,Criminal,Appeal,High_Court,Pro_Bono,State_3,2023,5,3,≤3 mo,0,0,0
4,65+,Female,Unknown,Senior_Citizen,Civil,Tort,District,Full_Aid,State_15,2020,3,1,≤3 mo,0,0,0
5,51-65,Other,Middle_Income,Minority,Property_Dispute,Property_Division,State,Pro_Bono,State_5,2022,8,1,6–12 mo,0,0,0
6,51-65,Female,Unknown,Minority,Other,Miscellaneous,District,Partial_Aid,State_3,2020,5,3,≤3 mo,0,1,0
7,36-50,Male,High_Income,Person_with_Disability,Other,Miscellaneous,State,Pro_Bono,State_9,2019,4,0,6–12 mo,0,0,0
8,65+,Female,Middle_Income,Minority,Domestic_Violence,Child_Custody,District,Full_Aid,State_8,2019,10,3,6–12 mo,0,1,1
9,51-65,Other,High_Income,None,Property_Dispute,Tenant_Landlord,District,Full_Aid,UT_7,2020,8,3,3–6 mo,0,1,0
10,51-65,Male,Middle_Income,None,Domestic_Violence,Protection_Order,High_Court,Partial_Aid,State_10,2020,6,4,6–12 mo,0,0,0
11,18-25,Other,Middle_Income,Person_with_Disability,Criminal,Bail,High_Court,Pro_Bono,State_16,2018,2,2,12-24 mo,1,1,0
12,18-25,Other,Low_Income,Minority,Other,Miscellaneous,State,Pro_Bono,UT_6,2022,4,1,≤3 mo,0,0,0
13,26-35,Other,Middle_Income,Person_with_Disability,Other,Miscellaneous,Supreme_Court,Self_Represented,State_8,2019,10,0,>24 mo,1,1,0
14,65+,Male,Below_Poverty_Line,SC/ST,Other,Miscellaneous,State,Full_Aid,State_3,2020,4,3,12-24 mo,1,1,0
15,65+,Male,Unknown,None,Labor/Employment,Wages,Supreme_Court,Self_Represented,State_13,2018,6,3,>24 mo,1,0,0
16,18-25,Other,Below_Poverty_Line,SC/ST,Labor/Employment,Workplace_Harassment,High_Court,Full_Aid,State_16,2019,3,2,>24 mo,1,1,0
17,51-65,Male,Below_Poverty_Line,Person_with_Disability,Civil,Contract,District,Full_Aid,State_6,2019,3,5,>24 mo,1,0,0
18,18-25,Male,High_Income,SC/ST,Labor/Employment,Unfair_Dismissal,Supreme_Court,Pro_Bono,State_28,2023,5,1,6–12 mo,0,0,0
19,26-35,Female,Low_Income,SC/ST,Civil,Contract,High_Court,Full_Aid,State_4,2022,3,1,6–12 mo,0,1,0
20,18-25,Male,Below_Poverty_Line,None,Criminal,Acquittal,Supreme_Court,Full_Aid,State_16,2022,5,2,6–12 mo,0,1,0
21,65+,Other,Middle_Income,Senior_Citizen,Domestic_Violence,Divorce,State,Pro_Bono,State_26,2019,6,0,3–6 mo,0,0,0
22,18-25,Male,High_Income,None,Civil,Contract,District,Partial_Aid,UT_5,2020,9,2,>24 mo,1,0,0
23,36-50,Female,Low_Income,Person_with_Disability,Civil,Consumer,District,Pro_Bono,State_7,2019,3,1,12-24 mo,1,0,0
24,36-50,Other,Low_Income,Senior_Citizen,Domestic_Violence,Divorce,Supreme_Court,Pro_Bono,State_4,2018,4,5,3–6 mo,0,1,0
25,26-35,Other,Middle_Income,Minority,Other,Miscellaneous,Supreme_Court,Full_Aid,State_8,2018,8,1,6–12 mo,0,0,0
26,36-50,Other,Unknown,Minority,Labor/Employment,Wages,District,Pro_Bono,State_24,2018,2,1,≤3 mo,0,0,0
27,36-50,Other,High_Income,None,Other,Miscellaneous,State,Partial_Aid,State_12,2021,4,5,>24 mo,1,0,0
28,26-35,Female,Low_Income,SC/ST,Labor/Employment,Wages,Supreme_Court,Partial_Aid,State_13,2021,6,0,≤3 mo,0,1,0
29,51-65,Female,Middle_Income,SC/ST,Property_Dispute,Property_Division,Supreme_Court,Pro_Bono,State_2,2018,10,5,3–6 mo,0,1,0
30,36-50,Male,Below_Poverty_Line,None,Labor/Employment,Unfair_Dismissal,High_Court,Self_Represented,UT_5,2018,7,2,6–12 mo,0,1,1
31,51-65,Male,Unknown,None,Other,Miscellaneous,High_Court,Self_Represented,State_5,2023,3,0,6–12 mo,0,0,0
32,36-50,Other,Middle_Income,Person_with_Disability,Property_Dispute,Property_Division,High_Court,Partial_Aid,State_13,2021,7,0,3–6 mo,0,0,0
33,65+,Other,Middle_Income,Person_with_Disability,Civil,Contract,High_Court,Pro_Bono,State_14,2021,7,1,6–12 mo,0,0,0
34,51-65,Other,Low_Income,None,Labor/Employment,Workplace_Harassment,State,Full_Aid,State_19,2022,5,2,6–12 mo,0,0,0
35,26-35,Other,Middle_Income,Minority,Domestic_Violence,Maintenance,District,Full_Aid,State_16,2021,7,1,≤3 mo,0,1,0
36,65+,Male,High_Income,Person_with_Disability,Labor/Employment,Wages,State,Full_Aid,State_7,2021,2,3,>24 mo,1,1,0
37,18-25,Female,Low_Income,Person_with_Disability,Other,Miscellaneous,Supreme_Court,Self_Represented,UT_8,2021,5,0,6–12 mo,0,0,0
38,26-35,Other,Middle_Income,None,Labor/Employment,Workplace_Harassment,State,Pro_Bono,UT_1,2018,5,1,≤3 mo,0,1,0
39,65+,Male,Low_Income,Minority,Domestic_Violence,Child_Custody,State,Partial_Aid,State_5,2021,7,3,6–12 mo,0,1,1
40,51-65,Female,Unknown,SC/ST,Civil,Family,Supreme_Court,Full_Aid,State_23,2020,1,0,3–6 mo,0,0,0
41,65+,Male,High_Income,Minority,Property_Dispute,Property_Division,Supreme_Court,Full_Aid,State_25,2020,5,2,3–6 mo,0,0,0
42,26-35,Other,Unknown,SC/ST,Labor/Employment,Workplace_Harassment,District,Full_Aid,State_28,2019,6,4,≤3 mo,0,1,0
43,26-35,Female,Middle_Income,Senior_Citizen,Labor/Employment,Unfair_Dismissal,Supreme_Court,Pro_Bono,State_6,2021,7,3,12-24 mo,1,0,0
44,18-25,Other,Below_Poverty_Line,SC/ST,Domestic_Violence,Maintenance,District,Partial_Aid,State_16,2019,1,3,≤3 mo,0,0,1
45,36-50,Female,Low_Income,None,Civil,Contract,State,Pro_Bono,State_7,2022,6,4,>24 mo,1,0,0
46,51-65,Female,Low_Income,SC/ST,Civil,Tort,District,Pro_Bono,State_8,2022,5,1,3–6 mo,0,0,0
47,18-25,Other,Middle_Income,SC/ST,Labor/Employment,Unfair_Dismissal,District,Self_Represented,State_24,2023,2,1,3–6 mo,0,0,0
48,65+,Other,Middle_Income,None,Civil,Family,Supreme_Court,Self_Represented,State_18,2020,3,3,≤3 mo,0,1,0
49,51-65,Other,Unknown,Person_with_Disability,Property_Dispute,Land_Dispute,Supreme_Court,Pro_Bono,State_12,2021,9,1,>24 mo,1,1,0
50,36-50,Other,Below_Poverty_Line,None,Domestic_Violence,Protection_Order,State,Self_Represented,UT_4,2022,2,4,6–12 mo,0,0,0
51,51-65,Male,Below_Poverty_Line,Senior_Citizen,Domestic_Violence,Child_Custody,State,Pro_Bono,State_24,2021,5,2,3–6 mo,0,0,0
52,36-50,Female,High_Income,Senior_Citizen,Property_Dispute,Property_Division,State,Full_Aid,State_13,2020,11,1,12-24 mo,1,1,0
53,36-50,Other,Unknown,None,Civil,Consumer,District,Partial_Aid,State_19,2019,6,2,3–6 mo,0,1,0
54,36-50,Male,Below_Poverty_Line,None,Property_Dispute,Tenant_Landlord,State,Self_Represented,State_7,2018,14,3,>24 mo,1,0,0
55,18-25,Female,High_Income,SC/ST,Criminal,Sentencing,Supreme_Court,Full_Aid,State_4,2019,2,2,>24 mo,1,1,0
56,65+,Female,Unknown,None,Civil,Tort,Supreme_Court,Self_Represented,UT_1,2020,7,0,3–6 mo,0,0,0
57,65+,Other,Below_Poverty_Line,Minority,Other,Miscellaneous,High_Court,Full_Aid,State_11,2019,9,6,12-24 mo,1,1,0
58,65+,Female,Middle_Income,SC/ST,Domestic_Violence,Divorce,High_Court,Self_Represented,State_5,2023,13,3,>24 mo,1,0,0
59,26-35,Female,Below_Poverty_Line,None,Domestic_Violence,Maintenance,High_Court,Partial_Aid,State_5,2018,7,6,>24 mo,1,0,0
60,36-50,Female,Below_Poverty_Line,Person_with_Disability,Other,Miscellaneous,Supreme_Court,Pro_Bono,UT_5,2022,6,5,≤3 mo,0,0,0
61,36-50,Other,Middle_Income,SC/ST,Criminal,Acquittal,District,Pro_Bono,State_3,2019,2,1,6–12 mo,0,1,0
62,65+,Female,High_Income,SC/ST,Labor/Employment,Unfair_Dismissal,Supreme_Court,Pro_Bono,State_21,2023,5,1,12-24 mo,1,1,0
63,36-50,Other,High_Income,None,Criminal,Sentencing,District,Pro_Bono,State_17,2020,3,0,>24 mo,1,0,0
64,18-25,Other,Unknown,Person_with_Disability,Labor/Employment,Wages,State,Pro_Bono,UT_4,2023,5,2,≤3 mo,0,1,0
65,36-50,Female,High_Income,SC/ST,Criminal,Acquittal,State,Pro_Bono,UT_8,2018,2,2,≤3 mo,0,1,0
